"Topic","Prob_Words","FREX_Words"
1,"人员, 飞机, 旅客, 海关, 犯罪, 安全, 机场, 广州, 走私, 部门","旅客, 走私, 航空公司, 电信, 诈骗, 航班, 海关, 飞行, 警方, 一架"
2,"人民, 社会主义, 中华人民共和国, 友谊, 我国, 同志, 建设, 兄弟, 伟大, 阿尔巴尼亚","阿尔巴尼亚, 友谊, 兄弟, 成就, 人民共和国, 匈牙利, 阵营, 罗马尼亚, 祝贺, 为首"
3,"社会主义, 资产阶级, 思想, 资本主义, 政治, 社会, 发展, 国家, 问题, 专政","资产阶级, 资本主义, 专政, 阶级, 知识分子, 共产主义, 改造, 阶级斗争, 错误, 社会主义"
4,"军队, 军事, 安全, 国防, 国家, 建设, 战略, 中国人民解放军, 部队, 上将","国防, 两军, 上将, 国防部长, 军队, 军事, 迟浩田, 中央军委, 武器装备, 导弹"
5,"总理, 代表团, 访问, 会见, 欢迎, 表示, 新华社, 进行, 团长, 国务院","总理, 访问, 代表团, 团长, 钱其琛, 一行, 陪同, 李鹏, 会见, 欢迎"
6,"主席, 出席, 招待会, 代表, 讲话, 负责人, 举行, 大使, 大会, 热烈","招待会, 应邀出席, 在讲话中, 彭真, 政协全国委员会, 出席, 副委员长, 主席台, 掌声, 李先念"
7,"国民党, 上海, 蒋介石, 政府, 中国共产党, 抗日, 成立, 南京, 解放区, 全国","解放区, 国民党, 北平, 内战, 抗日, 华北, 根据地, 延安, 南京, 红军"
8,"委员会, 组织, 地方, 工作, 党员, 各级, 社会主义, 领导, 决定, 干部","党员, 常务委员会, 各级, 党组织, 章程, 中央委员会, 地方, 中国人民政治协商会议, 代表大会, 上级"
9,"中方, 发展, 支持, 关系, 坚定, 两国, 领域, 表示, 深化, 赞赏","中方, 愿同, 赞赏, 坚定, 乌克兰, 中巴, 互信, 合作伙伴, 深化, 阿富汗"
10,"国家, 发展, 世界, 国际, 和平, 各国, 关系, 经济, 非洲, 合作","中非, 非洲, 发展中国家, 五项原则, 外交, 和平共处, 南非, 独立自主, 各国, 第三世界"
11,"新华社, 九月, 七月, 八月, 六月, 十月, 一月, 五月, 三月, 一日","七月, 八月, 二十八日, 九月, 七日, 五月, 二十七日, 十五日, 二月, 三十日"
12,"习近平, 时代, 发展, 中国, 全面, 坚持, 总书记, 推进, 复兴, 特色","习近平, 征程, 脱贫, 复兴, 二十大, 时代, 总书记, 中国式, 担当, 十八"
13,"街道, 有限公司, 社区, 家庭, 委员会, 中共, 小学, 集团, 中学, 公司","街道, 社区, 有限公司, 云南省, 湖南省, 重庆市, 小学, 天津市, 中学, 河南省"
14,"合作, 全球, 发展, 推动, 共同, 安全, 倡议, 支持, 国际, 一路","倡议, 一路, 全球, 共建, 一带, 共同体, 气候变化, 多边, 互联互通, 构建"
15,"发展, 建设, 推进, 加强, 完善, 加快, 实施, 体系, 推动, 创新","优化, 加快, 完善, 健全, 就业, 提升, 加大, 强化, 力度, 体系"
16,"艺术, 演出, 电影, 观众, 作品, 创作, 音乐, 影片, 节目, 文艺","音乐, 演出, 演员, 京剧, 影片, 艺术家, 创作, 电影, 艺术, 戏剧"
17,"联合国, 代表, 问题, 中华人民共和国, 决议, 提案, 恢复, 大会, 组织, 国际","联合国, 提案, 联合国大会, 宪章, 联大, 决议, 安理会, 合法权利, 代表权, 合法席位"
18,"主席, 委员, 委员会, 主任, 书记, 全国政协, 中央, 部长, 中共, 秘书长","书记, 委员, 主任, 现任, 主任委员, 常委, 任命, 中央委员, 全国政协, 常务委员"
19,"毛主席, 革命, 无产阶级, 伟大领袖, 主席, 毛泽东思想, 伟大, 路线, 一定, 党中央","伟大领袖, 毛主席, 无产阶级, 毛泽东思想, 四人帮, 教导, 华国锋, 路线, 著作, 伟大胜利"
20,"日本, 政府, 人民, 条约, 岸信, 东京, 佐藤, 军国主义, 安全, 反对","岸信, 佐藤, 日本, 日美, 冲绳, 东京, 社会党, 美日, 军国主义, 复活"
21,"人民, 美帝国主义, 侵略, 反对, 坚决, 我国, 斗争, 美国, 一定, 美帝","美帝国主义, 美帝, 愤怒, 反美, 强盗, 滚出去, 保家卫国, 罪行, 示威, 侵略者"
22,"国民党, 民众, 岛内, 选举, 政治, 民进党, 当局, 表示, 台湾当局, 认为","岛内, 候选人, 新台币, 立委, 民进党, 民众, 行政院, 立法院, 吴亚明, 选举"
23,"国家, 问题, 会议, 和平, 建议, 国际, 这种, 各国, 苏联, 法国","停战, 日内瓦, 德国, 西德, 法国, 欧洲, 紧张局势, 缓和, 建议, 军备"
24,"同志, 工作, 邓小平, 建设, 现代化, 领导, 社会主义, 党中央, 周总理, 政治","同志, 邓小平, 周总理, 十一届三中全会, 四人帮, 林彪, 全党全军, 实事求是, 党中央, 革命家"
25,"生产, 农业, 农民, 工业, 增加, 粮食, 今年, 农村, 去年, 产量","粮食, 合作社, 农民, 产量, 农业, 原料, 公斤, 蔬菜, 农产品, 增产"
26,"日本, 抗日战争, 抗战, 侵略, 和约, 战争, 人民, 历史, 胜利, 抗日","和约, 抗日战争, 军国主义者, 抗战, 波茨坦, 日军, 开罗宣言, 世界反法西斯战争, 侵华, 投降"
27,"文化, 出版, 历史, 作家, 文学, 读者, 传统, 社会, 作者, 出版社","读者, 出版, 作家, 出版社, 文学, 图书, 小说, 本书, 地图, 哲学"
28,"香港, 澳门, 一国两制, 内地, 问题, 回归, 香港特别行政区, 基本法, 繁荣, 稳定","香港, 澳门, 基本法, 回归, 内地, 香港回归, 香港特别行政区, 一国两制, 行政长官, 行政区"
29,"建设, 发展, 社会主义, 我国, 坚持, 经济, 改革开放, 社会, 人民, 继续","改革开放, 邓小平理论, 小康社会, 三个代表, 精神文明, 和谐社会, 发展观, 伟大旗帜, 各族人民, 温家宝"
30,"工作, 民主党派, 政协, 人民政协, 统一战线, 委员, 重要, 加强, 政治, 中国共产党","人民政协, 政协, 民主党派, 统一战线, 政治协商, 多党合作, 统战工作, 参政议政, 民主监督, 政协委员"
31,"和平统一, 祖国, 统一, 台湾, 实现, 分裂, 台湾同胞, 江泽民, 问题, 国家","和平统一, 江泽民, 统一大业, 重要讲话, 八项, 反分裂, 一国两制, 分裂, 统一, 祖国统一"
32,"两岸, 两岸关系, 发展, 和平, 同胞, 共同, 交流, 经济, 共识, 合作","两岸关系, 台海, 九二, 两岸, 福祉, 共识, 同胞, 连战, 贾庆林, 中国国民党"
33,"疫情, 地震, 工作, 灾区, 台风, 医疗, 组织, 发生, 医院, 应急","台风, 灾区, 地震, 疫情, 肺炎, 应急, 防控, 患者, 医疗, 非典"
34,"双方, 合作, 两国, 加强, 领域, 发展, 认为, 共同, 地区, 促进","双方, 领域, 签署, 合作, 双方同意, 双边, 经贸合作, 两国, 重申, 磋商"
35,"中国, 一个, 人民, 世界, 中国政府, 政府, 一部分, 建立, 合法政府, 代表","中国, 合法政府, 中国政府, 一部分, 一个, 外交关系, 世界, 承认, 建立, 政府"
36,"会议, 代表, 报告, 大会, 工作, 召开, 委员会, 讨论, 全国, 发言","报告, 会议, 代表, 审议, 发言, 草案, 全国人民代表大会, 名额, 召开, 讨论"
37,"人民, 帝国主义, 统治, 已经, 一个, 国家, 这种, 自由, 反动, 没有","统治, 压迫, 殖民地, 剥削, 帝国主义者, 帝国主义, 掠夺, 奴役, 残酷, 封建"
38,"祖国, 实现, 统一, 希望, 祖国统一, 人民, 统一大业, 台湾, 和平统一, 统一祖国","祖国统一, 统一祖国, 振兴中华, 统一大业, 吴学谦, 为重, 回归祖国, 四化建设, 胡耀邦, 赵紫阳"
39,"发展, 关系, 两国, 主席, 表示, 会见, 总统, 合作, 友好合作, 中国","友好合作, 议会, 两国关系, 吴邦国, 赞赏, 议长, 江泽民, 江主席, 会见, 各个领域"
40,"国家, 规定, 法律, 宪法, 政府, 中华人民共和国, 权利, 草案, 保护, 原则","宪法, 法律, 国际法, 公民, 草案, 权利, 规定, 宗教, 权力, 财产"
41,"发展, 建设, 产业, 项目, 经济, 投资, 开发, 企业, 优势, 创新","产业, 开发, 开发区, 引进, 优势, 经济特区, 高新技术, 经济区, 特区, 带动"
42,"经济, 贸易, 亿美元, 出口, 投资, 增长, 世界, 市场, 今年, 发展","亿美元, 出口, 进口, 贸易, 美元, 对外贸易, 发达国家, 增长率, 进出口, 新加坡"
43,"地区, 广东, 我国, 浙江, 广西, 四川, 江苏, 海南, 山东, 云南","广东, 海南, 广西, 云南, 辽宁, 江苏, 森林, 浙江, 山东, 绿化"
44,"美国, 政策, 发表, 社论, 报纸, 文章, 评论, 指出, 英国, 艾森豪威尔","社论, 艾森豪威尔, 文章, 评论, 杜勒斯, 一篇, 演说, 报纸, 美国, 这家"
45,"会议, 国务院, 中共中央, 印发, 工作, 讲话, 举行, 中国, 发展, 决定","印发, 中共中央, 国务院, 履职, 讲话, 全会, 意见, 中央军委, 同日, 十三届"
46,"台湾同胞, 祖国, 同胞, 台胞, 祖国大陆, 探亲, 台湾省, 回到, 春节, 亲人","亲人, 探亲, 团聚, 台胞, 二八, 省籍, 故乡, 定居, 起义, 全国台联"
47,"企业, 公司, 市场, 产品, 生产, 集团, 技术, 投资, 万元, 服务","公司, 产品, 销售, 消费者, 市场, 企业, 电子, 品牌, 食品, 合资"
48,"社会主义, 发展, 人民, 坚持, 建设, 中国, 制度, 特色, 社会, 政治","马克思主义, 特色, 执政, 制度, 理论, 强军, 法治, 体系, 全党, 完善"
49,"增长, 亿元, 全国, 上年, 增加, 人口, 全年, 万人, 投资, 万吨","上年, 全年, 增长, 年末, 万人, 亿元, 万吨, 下降, 人口, 人均"
50,"战俘, 遣返, 特务, 人员, 美方, 解释, 被俘, 我方, 强迫, 委员会","战俘, 遣返, 被俘, 我方, 解释, 强迫, 扣留, 美方, 特务, 李承晚"
51,"部队, 敌人, 战士, 民兵, 战斗, 人民解放军, 我军, 解放, 前线, 中国人民解放军","我军, 民兵, 战士, 部队, 前线, 人民解放军, 战备, 某部, 指战员, 官兵"
52,"美国, 台湾, 人民, 领土, 蒋介石, 侵略, 集团, 我国, 干涉, 解放","岛屿, 领土, 蒋介石, 紧张局势, 卖国, 挑衅, 侵占, 台湾海峡, 干涉, 杜勒斯"
53,"工作, 建设, 人民, 国家, 我国, 社会主义, 全国, 发展, 生产, 完成","抗美援朝, 五年计划, 改造, 工商业, 缺点, 土地改革, 国民经济, 第一个, 工商业者, 克服"
54,"学生, 教育, 学校, 学习, 大学, 工作, 培养, 教师, 儿童, 人才","学生, 大学, 教师, 大学生, 教学, 学校, 高校, 教育, 课程, 同学"
