トピック番号,頻出語,特徴語
12,"习近平（習近平）, 时代（時代）, 发展（発展）, 中国（中国）, 全面（全面）, 坚持（堅持/堅持する）, 总书记（総書記）, 推进（推進）, 复兴（復興）, 特色（特色）","习近平（習近平）, 征程（道のり）, 脱贫（貧困脱却）, 复兴（復興）, 二十大（二十大）, 时代（時代）, 总书记（総書記）, 中国式（中国式）, 担当（担当）, 十八（十八）"
14,"合作（協力）, 全球（グローバル）, 发展（発展）, 推动（推進）, 共同（共同）, 安全（安全）, 倡议（イニシアチブ）, 支持（支持）, 国际（国際）, 一路（一帯一路）","倡议（イニシアチブ）, 一路（一路）, 全球（グローバル）, 共建（共同建設）, 一带（一帯）, 共同体（共同体）, 气候变化（気候変動）, 多边（多国間）, 互联互通（コネクティビティ）, 构建（構築）"
19,"毛主席（毛主席）, 革命（革命）, 无产阶级（プロレタリア階級）, 伟大领袖（偉大なる領袖）, 主席（主席）, 毛泽东思想（毛沢東思想）, 伟大（偉大）, 路线（路線）, 一定（必ず）, 党中央（党中央）","伟大领袖（偉大な領袖）, 毛主席（毛主席）, 无产阶级（プロレタリア階級）, 毛泽东思想（毛沢東思想）, 四人帮（四人組）, 教导（教え）, 华国锋（華国鋒）, 路线（路線）, 著作（著作）, 伟大胜利（偉大な勝利）"
21,"人民（人民）, 美帝国主义（米帝国主義）, 侵略（侵略）, 反对（反対）, 坚决（断固）, 我国（わが国）, 斗争（闘争）, 美国（米国）, 一定（必ず）, 美帝（米帝）","美帝国主义（米帝国主義）, 美帝（米帝）, 愤怒（憤り）, 反美（反米）, 强盗（強盗）, 滚出去（出て行け）, 保家卫国（家を護り国を衛る）, 罪行（罪状）, 示威（デモ）, 侵略者（侵略者）"
29,"建设（建設）, 发展（発展）, 社会主义（社会主義）, 我国（わが国）, 坚持（堅持）, 经济（経済）, 改革开放（改革開放）, 社会（社会）, 人民（人民）, 继续（継続）","改革开放（改革開放）, 邓小平理论（鄧小平理論）, 小康社会（小康社会）, 三个代表（三つの代表）, 精神文明（精神文明）, 和谐社会（調和のとれた社会）, 发展观（発展観）, 伟大旗帜（偉大な旗印）, 各族人民（各民族人民）, 温家宝（温家宝）"
31,"和平统一（平和統一）, 祖国（祖国）, 统一（統一）, 台湾（台湾）, 实现（実現）, 分裂（分裂）, 台湾同胞（台湾同胞）, 江泽民（江沢民）, 问题（問題）, 国家（国家）","和平统一（平和統一）, 江泽民（江沢民）, 统一大业（統一の大業）, 重要讲话（重要講話）, 八项（八項目）, 反分裂（反分裂）, 一国两制（一国二制度）, 分裂（分裂）, 统一（統一）, 祖国统一（祖国統一）"
37,"人民（人民）, 帝国主义（帝国主義）, 统治（統治）, 已经（すでに）, 一个（一つの）, 国家（国家）, 这种（このような）, 自由（自由）, 反动（反動）, 没有（ない）","统治（統治）, 压迫（圧迫）, 殖民地（植民地）, 剥削（搾取）, 帝国主义者（帝国主義者）, 帝国主义（帝国主義）, 掠夺（略奪）, 奴役（奴隷化）, 残酷（残酷）, 封建（封建）"
41,"发展（発展）, 建设（建設）, 产业（産業）, 项目（プロジェクト）, 经济（経済）, 投资（投資）, 开发（開発）, 企业（企業）, 优势（優位性）, 创新（イノベーション）","产业（産業）, 开发（開発）, 开发区（開発区）, 引进（導入）, 优势（優位性）, 经济特区（経済特区）, 高新技术（ハイテク）, 经济区（経済区）, 特区（特区）, 带动（牽引する）"
48,"社会主义（社会主義）, 发展（発展）, 人民（人民）, 坚持（堅持）, 建设（建設）, 中国（中国）, 制度（制度）, 特色（特色）, 社会（社会）, 政治（政治）","马克思主义（マルクス主義）, 特色（特色）, 执政（執政）, 制度（制度）, 理论（理論）, 强军（強軍）, 法治（法治）, 体系（体系）, 全党（全党）, 完善（完備）"
52,"美国（米国）, 台湾（台湾）, 人民（人民）, 领土（領土）, 蒋介石（蒋介石）, 侵略（侵略）, 集团（集団）, 我国（わが国）, 干涉（干渉）, 解放（解放）","岛屿（島嶼）, 领土（領土）, 蒋介石（蒋介石）, 紧张局势（緊張情勢）, 卖国（売国）, 挑衅（挑発）, 侵占（侵略占拠）, 台湾海峡（台湾海峡）, 干涉（干渉）, 杜勒斯（ダレス）"
59,"斗争（闘争）, 反对（反対）, 进行（行う）, 政策（政策）, 美帝国主义（米帝国主義）, 世界（世界）, 帝国主义（帝国主義）, 核武器（核兵器）, 战争（戦争）, 和平（平和）","核武器（核兵器）, 修正主义（修正主義）, 赫鲁晓夫（フルシチョフ）, 禁止（禁止）, 核试验（核実験）, 核战争（核戦争）, 原子弹（原爆）, 氢弹（水爆）, 国际共产主义运动（国際共産主義運動）, 斗争（闘争）"
